[2025-10-12 09:49:10] {jeet} ('127.0.0.1', 65514) :- joined the room 'default'
[2025-10-12 09:49:10] Server :- Failed to broadcast: [WinError 10038] An operation was attempted on something that is not a socket
[2025-10-12 09:49:11] {jeet} ('127.0.0.1', 65514) :- s
[2025-10-12 09:49:11] {jeet} ('127.0.0.1', 65514) :- d
[2025-10-12 09:49:12] {jeet} ('127.0.0.1', 65514) :- sd
[2025-10-12 09:49:12] {jeet} ('127.0.0.1', 65514) :- s
[2025-10-12 09:49:12] {jeet} ('127.0.0.1', 65514) :- Rotated session key.
[2025-10-12 09:49:12] {jeet} ('127.0.0.1', 65514) :- d
[2025-10-12 09:49:12] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:49:12] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:49:12] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:49:12] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:49:13] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:49:13] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:49:13] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:49:13] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:49:13] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:49:52] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:49:52] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:49:52] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:49:53] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:49:53] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:50:00] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:50:00] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:50:01] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:50:05] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:50:06] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:50:24] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:50:24] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:50:24] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:50:24] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:50:25] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:50:25] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:50:25] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:50:30] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:50:30] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:50:30] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:50:31] {jeet} ('127.0.0.1', 65514) :- HMAC verification failed.
[2025-10-12 09:55:41] {jeet} ('127.0.0.1', 49819) :- joined the room 'default'
