[2025-10-12 08:30:39] {jeet} ('127.0.0.1', 59526) :- joined the room 'default'
[2025-10-12 08:30:40] {jeet} ('127.0.0.1', 59526) :- ds
[2025-10-12 08:30:40] {jeet} ('127.0.0.1', 59526) :- d
[2025-10-12 08:30:40] {jeet} ('127.0.0.1', 59526) :- s
[2025-10-12 08:30:40] {jeet} ('127.0.0.1', 59526) :- ds
[2025-10-12 08:30:41] {jeet} ('127.0.0.1', 59526) :- d
[2025-10-12 08:30:41] {jeet} ('127.0.0.1', 59526) :- s
[2025-10-12 08:32:28] {jeet} ('127.0.0.1', 59526) :- sd
[2025-10-12 08:32:28] {jeet} ('127.0.0.1', 59526) :- sd
[2025-10-12 08:32:28] {jeet} ('127.0.0.1', 59526) :- s
[2025-10-12 08:32:28] {jeet} ('127.0.0.1', 59526) :- d
[2025-10-12 08:32:28] {jeet} ('127.0.0.1', 59526) :- s
[2025-10-12 08:32:29] {jeet} ('127.0.0.1', 59526) :- d
[2025-10-12 08:32:29] {jeet} ('127.0.0.1', 59526) :- s
[2025-10-12 08:32:29] {jeet} ('127.0.0.1', 59526) :- d
[2025-10-12 08:32:29] {jeet} ('127.0.0.1', 59526) :- s
[2025-10-12 08:32:37] {jeet} ('127.0.0.1', 59602) :- joined the room 'default'
[2025-10-12 08:32:38] {jeet} ('127.0.0.1', 59602) :- ds
[2025-10-12 08:32:38] {jeet} ('127.0.0.1', 59602) :- d
[2025-10-12 08:32:38] {jeet} ('127.0.0.1', 59602) :- s
[2025-10-12 08:32:41] {jeet} ('127.0.0.1', 59602) :- d/hellp
[2025-10-12 08:32:43] {jeet} ('127.0.0.1', 59602) :- ds
[2025-10-12 08:32:43] {jeet} ('127.0.0.1', 59602) :- sd
[2025-10-12 08:32:43] {jeet} ('127.0.0.1', 59602) :- s
[2025-10-12 08:32:44] {jeet} ('127.0.0.1', 59602) :- ds
[2025-10-12 08:32:44] {jeet} ('127.0.0.1', 59602) :- d
[2025-10-12 08:32:44] {jeet} ('127.0.0.1', 59602) :- s
[2025-10-12 08:32:44] {jeet} ('127.0.0.1', 59602) :- d
[2025-10-12 08:32:44] {jeet} ('127.0.0.1', 59602) :- s
[2025-10-12 08:32:59] {jeet} ('127.0.0.1', 59616) :- joined the room 'default'
[2025-10-12 09:39:28] {jeet} ('127.0.0.1', 64902) :- joined the room 'default'
[2025-10-12 09:40:55] {jeet} ('127.0.0.1', 64976) :- joined the room 'default'
[2025-10-12 09:40:55] {jeet} ('127.0.0.1', 64902) :- disconnected
[2025-10-12 09:41:05] {jeet} ('127.0.0.1', 64985) :- joined the room 'default'
[2025-10-12 09:41:11] {jeet} ('127.0.0.1', 64998) :- joined the room 'default'
[2025-10-12 09:41:11] {jeet} ('127.0.0.1', 64985) :- disconnected
