[2025-10-12 12:29:30] {jeet} ('192.168.56.1', 52445) :- joined the room 'default'
[2025-10-12 12:29:31] {jeet} ('192.168.56.1', 52445) :- sd
[2025-10-12 12:29:31] {jeet} ('192.168.56.1', 52445) :- s
[2025-10-12 12:29:31] {jeet} ('192.168.56.1', 52445) :- ds
[2025-10-12 12:29:32] {jeet} ('192.168.56.1', 52445) :- d
[2025-10-12 12:29:32] {jeet} ('192.168.56.1', 52445) :- Rotated session key.
[2025-10-12 12:29:32] {jeet} ('192.168.56.1', 52445) :- sd
[2025-10-12 12:29:32] {jeet} ('192.168.56.1', 52445) :- s
[2025-10-12 12:30:16] {jeet} ('192.168.56.1', 52445) :- s
[2025-10-12 12:30:16] {jeet} ('192.168.56.1', 52445) :- sd
[2025-10-12 12:30:16] {jeet} ('192.168.56.1', 52445) :- sd
