[2025-10-12 10:07:29] {jeet} ('127.0.0.1', 50543) :- joined the room 'default'
[2025-10-12 10:07:45] {jeet} ('127.0.0.1', 50557) :- joined the room 'default'
[2025-10-12 10:07:46] {jeet} ('127.0.0.1', 50557) :- d
[2025-10-12 10:07:46] {jeet} ('127.0.0.1', 50557) :- sd
[2025-10-12 10:07:46] {jeet} ('127.0.0.1', 50557) :- s
[2025-10-12 10:07:46] {jeet} ('127.0.0.1', 50557) :- d
[2025-10-12 10:07:46] {jeet} ('127.0.0.1', 50557) :- Rotated session key.
[2025-10-12 10:07:46] {jeet} ('127.0.0.1', 50557) :- s
[2025-10-12 10:07:47] {jeet} ('127.0.0.1', 50557) :- ds
[2025-10-12 10:07:47] {jeet} ('127.0.0.1', 50557) :- d
[2025-10-12 10:07:47] {jeet} ('127.0.0.1', 50557) :- s
[2025-10-12 10:07:47] {jeet} ('127.0.0.1', 50557) :- ds
[2025-10-12 10:07:48] {jeet} ('127.0.0.1', 50557) :- Rotated session key.
[2025-10-12 10:07:48] {jeet} ('127.0.0.1', 50557) :- ds
[2025-10-12 10:07:48] {jeet} ('127.0.0.1', 50557) :- d
[2025-10-12 10:07:48] {jeet} ('127.0.0.1', 50557) :- s
[2025-10-12 10:07:48] {jeet} ('127.0.0.1', 50557) :- d
[2025-10-12 10:07:48] {jeet} ('127.0.0.1', 50557) :- s
[2025-10-12 10:07:48] {jeet} ('127.0.0.1', 50557) :- Rotated session key.
[2025-10-12 10:07:48] {jeet} ('127.0.0.1', 50557) :- d
[2025-10-12 10:07:49] {jeet} ('127.0.0.1', 50557) :- s
[2025-10-12 10:07:49] {jeet} ('127.0.0.1', 50557) :- ds
[2025-10-12 10:07:49] {jeet} ('127.0.0.1', 50557) :- d
[2025-10-12 10:07:54] {jeet} ('127.0.0.1', 50543) :- sd
[2025-10-12 10:07:54] {jeet} ('127.0.0.1', 50543) :- s
[2025-10-12 10:07:54] {jeet} ('127.0.0.1', 50543) :- s
[2025-10-12 10:07:54] {jeet} ('127.0.0.1', 50543) :- d
[2025-10-12 10:07:55] {jeet} ('127.0.0.1', 50543) :- Rotated session key.
[2025-10-12 10:07:55] {jeet} ('127.0.0.1', 50543) :- s
[2025-10-12 10:07:55] {jeet} ('127.0.0.1', 50543) :- d
[2025-10-12 10:07:55] {jeet} ('127.0.0.1', 50543) :- sd
[2025-10-12 10:07:55] {jeet} ('127.0.0.1', 50543) :- s
[2025-10-12 10:07:55] {jeet} ('127.0.0.1', 50543) :- d
[2025-10-12 10:08:02] {jeet} ('127.0.0.1', 50543) :- Rotated session key.
[2025-10-12 10:08:02] {jeet} ('127.0.0.1', 50543) :- s
[2025-10-12 10:08:03] {jeet} ('127.0.0.1', 50543) :- sd
[2025-10-12 10:08:03] {jeet} ('127.0.0.1', 50543) :- s
[2025-10-12 10:08:03] {jeet} ('127.0.0.1', 50543) :- d
[2025-10-12 10:08:03] {jeet} ('127.0.0.1', 50543) :- s
[2025-10-12 10:08:03] {jeet} ('127.0.0.1', 50543) :- Rotated session key.
[2025-10-12 10:08:03] {jeet} ('127.0.0.1', 50543) :- d
[2025-10-12 10:08:03] {jeet} ('127.0.0.1', 50543) :- s
[2025-10-12 10:08:03] {jeet} ('127.0.0.1', 50543) :- d
[2025-10-12 10:08:17] {jeet} ('127.0.0.1', 50543) :- python client.py --key shared.key --host 127.0.0.1 --port 65432
[2025-10-12 10:08:21] {jeet} ('127.0.0.1', 50543) :- s
[2025-10-12 10:08:21] {jeet} ('127.0.0.1', 50543) :- Rotated session key.
[2025-10-12 10:08:21] {jeet} ('127.0.0.1', 50543) :- d
[2025-10-12 10:08:22] {jeet} ('127.0.0.1', 50543) :- s
[2025-10-12 10:08:22] {jeet} ('127.0.0.1', 50543) :- d
[2025-10-12 10:08:22] {jeet} ('127.0.0.1', 50543) :- sd
[2025-10-12 10:08:23] {jeet} ('127.0.0.1', 50543) :- s
[2025-10-12 10:08:23] {jeet} ('127.0.0.1', 50543) :- Rotated session key.
[2025-10-12 10:08:23] {jeet} ('127.0.0.1', 50543) :- d
[2025-10-12 10:08:23] {jeet} ('127.0.0.1', 50543) :- s
[2025-10-12 10:08:23] {jeet} ('127.0.0.1', 50543) :- d
[2025-10-12 10:08:23] {jeet} ('127.0.0.1', 50543) :- sd
[2025-10-12 10:08:23] {jeet} ('127.0.0.1', 50543) :- s
[2025-10-12 10:08:29] {jeet} ('127.0.0.1', 50543) :- Rotated session key.
[2025-10-12 10:08:29] {jeet} ('127.0.0.1', 50543) :- dd
[2025-10-12 10:08:29] {jeet} ('127.0.0.1', 50543) :- s
[2025-10-12 10:08:29] {jeet} ('127.0.0.1', 50543) :- d
[2025-10-12 10:08:30] {jeet} ('127.0.0.1', 50543) :- s
[2025-10-12 10:08:35] {jeet} ('127.0.0.1', 50543) :- d
[2025-10-12 10:08:36] {jeet} ('127.0.0.1', 50543) :- Rotated session key.
[2025-10-12 10:08:36] {jeet} ('127.0.0.1', 50543) :- ds
[2025-10-12 10:08:36] {jeet} ('127.0.0.1', 50543) :- d
[2025-10-12 10:08:44] {jeet} ('127.0.0.1', 50543) :- sd
[2025-10-12 10:08:44] {jeet} ('127.0.0.1', 50543) :- s
[2025-10-12 10:08:44] {jeet} ('127.0.0.1', 50543) :- d
[2025-10-12 10:08:44] {jeet} ('127.0.0.1', 50543) :- Rotated session key.
[2025-10-12 10:08:44] {jeet} ('127.0.0.1', 50543) :- s
[2025-10-12 10:08:47] {jeet} ('127.0.0.1', 50543) :- dsd
[2025-10-12 10:08:48] {jeet} ('127.0.0.1', 50543) :- s
[2025-10-12 10:08:48] {jeet} ('127.0.0.1', 50543) :- ds
[2025-10-12 10:08:48] {jeet} ('127.0.0.1', 50543) :- d
