[2025-10-12 07:49:15] {jeet} ('127.0.0.1', 63296) :- joined the room
[2025-10-12 07:49:19] {jeet} ('127.0.0.1', 63296) :- d
[2025-10-12 07:49:19] Server :- Failed to broadcast: [WinError 10053] An established connection was aborted by the software in your host machine
[2025-10-12 07:49:19] {jeet} ('127.0.0.1', 63296) :- s
[2025-10-12 07:49:19] {jeet} ('127.0.0.1', 63296) :- ds
[2025-10-12 07:49:19] {jeet} ('127.0.0.1', 63296) :- d
[2025-10-12 07:49:20] {jeet} ('127.0.0.1', 63296) :- s
[2025-10-12 07:49:20] {jeet} ('127.0.0.1', 63296) :- d
[2025-10-12 07:49:20] {jeet} ('127.0.0.1', 63296) :- s
[2025-10-12 07:49:20] {jeet} ('127.0.0.1', 63296) :- d
[2025-10-12 07:49:20] {jeet} ('127.0.0.1', 63296) :- s
[2025-10-12 07:49:20] {jeet} ('127.0.0.1', 63296) :- d
[2025-10-12 07:49:20] {jeet} ('127.0.0.1', 63296) :- s
[2025-10-12 07:49:20] {jeet} ('127.0.0.1', 63296) :- d
[2025-10-12 07:49:21] {jeet} ('127.0.0.1', 63296) :- s
[2025-10-12 07:49:21] {jeet} ('127.0.0.1', 63296) :- d
[2025-10-12 07:49:21] {jeet} ('127.0.0.1', 63296) :- s
[2025-10-12 07:49:21] {jeet} ('127.0.0.1', 63296) :- d
[2025-10-12 07:49:21] {jeet} ('127.0.0.1', 63296) :- s
[2025-10-12 07:49:21] {jeet} ('127.0.0.1', 63296) :- d
[2025-10-12 07:49:21] {jeet} ('127.0.0.1', 63296) :- s
[2025-10-12 07:49:22] {jeet} ('127.0.0.1', 63296) :- d
[2025-10-12 07:49:22] {jeet} ('127.0.0.1', 63296) :- s
[2025-10-12 07:49:22] {jeet} ('127.0.0.1', 63296) :- d
[2025-10-12 07:49:22] {jeet} ('127.0.0.1', 63296) :- s
[2025-10-12 07:49:22] {jeet} ('127.0.0.1', 63296) :- d
[2025-10-12 07:49:23] {jeet} ('127.0.0.1', 63296) :- sds
[2025-10-12 07:49:23] {jeet} ('127.0.0.1', 63296) :- d
[2025-10-12 07:49:23] {jeet} ('127.0.0.1', 63296) :- s
[2025-10-12 07:49:23] {jeet} ('127.0.0.1', 63296) :- d
[2025-10-12 07:49:23] {jeet} ('127.0.0.1', 63296) :- s
[2025-10-12 07:49:23] {jeet} ('127.0.0.1', 63296) :- ds
[2025-10-12 07:49:23] {jeet} ('127.0.0.1', 63296) :- d
[2025-10-12 07:49:24] {jeet} ('127.0.0.1', 63296) :- s
[2025-10-12 07:49:24] {jeet} ('127.0.0.1', 63296) :- d
[2025-10-12 07:49:24] {jeet} ('127.0.0.1', 63296) :- s
[2025-10-12 07:49:24] {jeet} ('127.0.0.1', 63296) :- d
[2025-10-12 07:49:24] {jeet} ('127.0.0.1', 63296) :- s
[2025-10-12 07:49:37] {jeet} ('127.0.0.1', 63308) :- joined the room
[2025-10-12 07:49:39] {jeet} ('127.0.0.1', 63308) :- as
[2025-10-12 07:49:39] {jeet} ('127.0.0.1', 63308) :- s
[2025-10-12 07:49:39] {jeet} ('127.0.0.1', 63308) :- s
[2025-10-12 07:49:39] {jeet} ('127.0.0.1', 63308) :- d
[2025-10-12 07:49:40] {jeet} ('127.0.0.1', 63308) :- s
[2025-10-12 07:49:40] {jeet} ('127.0.0.1', 63308) :- d
[2025-10-12 07:49:40] {jeet} ('127.0.0.1', 63308) :- s
[2025-10-12 07:49:40] {jeet} ('127.0.0.1', 63308) :- d
[2025-10-12 07:49:40] {jeet} ('127.0.0.1', 63308) :- s
[2025-10-12 07:49:40] {jeet} ('127.0.0.1', 63308) :- d
[2025-10-12 07:49:41] {jeet} ('127.0.0.1', 63308) :- s
[2025-10-12 07:49:41] {jeet} ('127.0.0.1', 63308) :- d
[2025-10-12 07:49:41] {jeet} ('127.0.0.1', 63308) :- s
[2025-10-12 07:50:01] {jeet} ('127.0.0.1', 63319) :- joined the room
[2025-10-12 07:50:03] {jeet} ('127.0.0.1', 63319) :- sdsds
[2025-10-12 07:50:03] {jeet} ('127.0.0.1', 63319) :- d
[2025-10-12 07:50:03] {jeet} ('127.0.0.1', 63319) :- s
[2025-10-12 07:50:03] {jeet} ('127.0.0.1', 63319) :- d
[2025-10-12 07:50:04] {jeet} ('127.0.0.1', 63319) :- s
[2025-10-12 07:50:04] {jeet} ('127.0.0.1', 63319) :- d
[2025-10-12 07:50:05] {jeet} ('127.0.0.1', 63319) :- s
