[2025-10-11 19:58:58] {jeet} ('127.0.0.1', 56385) :- joined the room
[2025-10-11 19:58:59] {jeet} ('127.0.0.1', 56385) :- ds
[2025-10-11 19:59:00] {jeet} ('127.0.0.1', 56385) :- ds
[2025-10-11 19:59:00] {jeet} ('127.0.0.1', 56385) :- ds
[2025-10-11 19:59:00] {jeet} ('127.0.0.1', 56385) :- d
[2025-10-11 19:59:00] {jeet} ('127.0.0.1', 56385) :- s
[2025-10-11 19:59:00] {jeet} ('127.0.0.1', 56385) :- d
[2025-10-11 19:59:01] {jeet} ('127.0.0.1', 56385) :- sd
[2025-10-11 19:59:01] {jeet} ('127.0.0.1', 56385) :- s
[2025-10-11 19:59:01] {jeet} ('127.0.0.1', 56385) :- d
[2025-10-11 19:59:01] {jeet} ('127.0.0.1', 56385) :- sd
[2025-10-11 19:59:01] {jeet} ('127.0.0.1', 56385) :- s
[2025-10-11 19:59:02] {jeet} ('127.0.0.1', 56385) :- d
[2025-10-11 19:59:02] {jeet} ('127.0.0.1', 56385) :- sd
[2025-10-11 19:59:02] {jeet} ('127.0.0.1', 56385) :- s
[2025-10-11 19:59:02] {jeet} ('127.0.0.1', 56385) :- d
[2025-10-11 19:59:02] {jeet} ('127.0.0.1', 56385) :- s
[2025-10-11 19:59:02] {jeet} ('127.0.0.1', 56385) :- d
[2025-10-11 19:59:03] {jeet} ('127.0.0.1', 56385) :- s
[2025-10-11 19:59:03] {jeet} ('127.0.0.1', 56385) :- d
[2025-10-11 19:59:31] {jeet} ('127.0.0.1', 56477) :- joined the room
[2025-10-11 19:59:31] {jeet} ('127.0.0.1', 56478) :- joined the room
[2025-10-11 19:59:32] {jeet} ('127.0.0.1', 56482) :- joined the room
[2025-10-11 19:59:33] {jeet} ('127.0.0.1', 56477) :- ds
[2025-10-11 19:59:34] {jeet} ('127.0.0.1', 56477) :- d
[2025-10-11 19:59:34] {jeet} ('127.0.0.1', 56477) :- s
[2025-10-11 19:59:34] {jeet} ('127.0.0.1', 56477) :- ds
[2025-10-11 19:59:34] {jeet} ('127.0.0.1', 56477) :- d
[2025-10-11 19:59:34] {jeet} ('127.0.0.1', 56477) :- s
[2025-10-11 19:59:34] {jeet} ('127.0.0.1', 56477) :- d
[2025-10-11 19:59:34] {jeet} ('127.0.0.1', 56477) :- s
[2025-10-11 19:59:35] {jeet} ('127.0.0.1', 56477) :- d
[2025-10-11 19:59:35] {jeet} ('127.0.0.1', 56477) :- s
[2025-10-11 19:59:36] {jeet} ('127.0.0.1', 56478) :- s
[2025-10-11 19:59:37] {jeet} ('127.0.0.1', 56478) :- s
[2025-10-11 19:59:37] {jeet} ('127.0.0.1', 56478) :- d
[2025-10-11 19:59:37] {jeet} ('127.0.0.1', 56478) :- s
[2025-10-11 19:59:37] {jeet} ('127.0.0.1', 56478) :- d
[2025-10-11 19:59:37] {jeet} ('127.0.0.1', 56478) :- s
[2025-10-11 19:59:37] {jeet} ('127.0.0.1', 56478) :- d
[2025-10-11 19:59:37] {jeet} ('127.0.0.1', 56478) :- s
[2025-10-11 19:59:39] {jeet} ('127.0.0.1', 56482) :- sd
[2025-10-11 19:59:39] {jeet} ('127.0.0.1', 56482) :- s
[2025-10-11 19:59:39] {jeet} ('127.0.0.1', 56482) :- d
[2025-10-11 19:59:39] {jeet} ('127.0.0.1', 56482) :- s
[2025-10-11 19:59:39] {jeet} ('127.0.0.1', 56482) :- d
[2025-10-11 19:59:40] {jeet} ('127.0.0.1', 56482) :- sd
[2025-10-11 19:59:40] {jeet} ('127.0.0.1', 56482) :- s
[2025-10-11 19:59:40] {jeet} ('127.0.0.1', 56482) :- d
[2025-10-11 19:59:43] {jeet} ('127.0.0.1', 56385) :- sds
[2025-10-11 19:59:43] {jeet} ('127.0.0.1', 56385) :- d
[2025-10-11 19:59:44] {jeet} ('127.0.0.1', 56385) :- sd
[2025-10-11 19:59:44] {jeet} ('127.0.0.1', 56385) :- s
[2025-10-11 20:00:00] {jeet} ('127.0.0.1', 56385) :- dfdf
[2025-10-11 20:00:01] {jeet} ('127.0.0.1', 56385) :- df
[2025-10-11 20:00:01] {jeet} ('127.0.0.1', 56385) :- d
[2025-10-11 20:00:01] {jeet} ('127.0.0.1', 56385) :- f
[2025-10-11 20:00:01] {jeet} ('127.0.0.1', 56385) :- d
[2025-10-11 20:00:01] {jeet} ('127.0.0.1', 56385) :- f
[2025-10-11 20:00:02] {jeet} ('127.0.0.1', 56385) :- d
[2025-10-11 20:00:02] {jeet} ('127.0.0.1', 56385) :- f
[2025-10-11 20:00:02] {jeet} ('127.0.0.1', 56385) :- d
[2025-10-11 20:00:05] {jeet} ('127.0.0.1', 56385) :- fheeelo
[2025-10-11 20:00:07] {jeet} ('127.0.0.1', 56385) :- hello
[2025-10-11 20:00:10] {jeet} ('127.0.0.1', 56385) :- HELLO
