[2025-10-11 19:46:40] {jeet} ('127.0.0.1', 54998) :- joined the room
[2025-10-11 19:46:40] Server :- Failed to broadcast: [WinError 10038] An operation was attempted on something that is not a socket
[2025-10-11 19:46:41] {jeet} ('127.0.0.1', 54998) :- d
[2025-10-11 19:46:41] Server :- Failed to broadcast: [WinError 10053] An established connection was aborted by the software in your host machine
[2025-10-11 19:46:42] {jeet} ('127.0.0.1', 54998) :- s
[2025-10-11 19:46:42] {jeet} ('127.0.0.1', 54998) :- ds
[2025-10-11 19:46:42] {jeet} ('127.0.0.1', 54998) :- d
[2025-10-11 19:46:42] {jeet} ('127.0.0.1', 54998) :- s
[2025-10-11 19:46:42] {jeet} ('127.0.0.1', 54998) :- ds
[2025-10-11 19:46:42] {jeet} ('127.0.0.1', 54998) :- s
[2025-10-11 19:46:43] {jeet} ('127.0.0.1', 54998) :- d
[2025-10-11 19:46:43] {jeet} ('127.0.0.1', 54998) :- s
[2025-10-11 19:46:43] {jeet} ('127.0.0.1', 54998) :- ds
[2025-10-11 19:46:43] {jeet} ('127.0.0.1', 54998) :- d
[2025-10-11 19:46:43] {jeet} ('127.0.0.1', 54998) :- s
[2025-10-11 19:46:48] {jeet} ('127.0.0.1', 54998) :- dd
[2025-10-11 19:46:48] {jeet} ('127.0.0.1', 54998) :- sd
[2025-10-11 19:46:48] {jeet} ('127.0.0.1', 54998) :- s
[2025-10-11 19:46:48] {jeet} ('127.0.0.1', 54998) :- d
[2025-10-11 19:46:49] {jeet} ('127.0.0.1', 54998) :- s
[2025-10-11 19:46:49] {jeet} ('127.0.0.1', 54998) :- ds
[2025-10-11 19:46:49] {jeet} ('127.0.0.1', 54998) :- d
[2025-10-11 19:46:49] {jeet} ('127.0.0.1', 54998) :- s
[2025-10-11 19:46:49] {jeet} ('127.0.0.1', 54998) :- d
[2025-10-11 19:46:49] {jeet} ('127.0.0.1', 54998) :- s
[2025-10-11 19:46:50] {jeet} ('127.0.0.1', 54998) :- ds
[2025-10-11 19:47:44] {jeet} ('127.0.0.1', 55045) :- joined the room
[2025-10-11 19:47:45] {jeet} ('127.0.0.1', 55045) :- d
[2025-10-11 19:47:45] {jeet} ('127.0.0.1', 55045) :- s
[2025-10-11 19:47:46] {jeet} ('127.0.0.1', 55045) :- ds
[2025-10-11 19:47:46] {jeet} ('127.0.0.1', 55045) :- ds
[2025-10-11 19:48:58] {jeet} ('127.0.0.1', 55045) :- ds
[2025-10-11 19:48:58] {jeet} ('127.0.0.1', 55045) :- a
[2025-10-11 19:48:59] {jeet} ('127.0.0.1', 55045) :- sasa
[2025-10-11 19:48:59] {jeet} ('127.0.0.1', 55045) :- sa
[2025-10-11 19:49:01] {jeet} ('127.0.0.1', 54998) :- as
[2025-10-11 19:49:01] {jeet} ('127.0.0.1', 54998) :- a
[2025-10-11 19:49:01] {jeet} ('127.0.0.1', 54998) :- s
[2025-10-11 19:49:01] {jeet} ('127.0.0.1', 54998) :- a
