[2025-10-11 19:25:30] {jeet} ('127.0.0.1', 52885) :- joined the room
[2025-10-11 19:25:32] {jeet} ('127.0.0.1', 52894) :- joined the room
[2025-10-11 19:25:34] {jeet} ('127.0.0.1', 52894) :- sd
[2025-10-11 19:25:34] {jeet} ('127.0.0.1', 52894) :- s
[2025-10-11 19:25:34] {jeet} ('127.0.0.1', 52894) :- d
[2025-10-11 19:25:34] {jeet} ('127.0.0.1', 52894) :- s
[2025-10-11 19:25:35] {jeet} ('127.0.0.1', 52894) :- d
[2025-10-11 19:25:38] {jeet} ('127.0.0.1', 52894) :- ssdsdsd
[2025-10-11 19:25:39] {jeet} ('127.0.0.1', 52894) :- dsd
[2025-10-11 19:25:39] {jeet} ('127.0.0.1', 52894) :- s
[2025-10-11 19:25:39] {jeet} ('127.0.0.1', 52894) :- d
[2025-10-11 19:25:39] {jeet} ('127.0.0.1', 52894) :- s
[2025-10-11 19:25:41] {jeet} ('127.0.0.1', 52885) :- sds
[2025-10-11 19:25:41] {jeet} ('127.0.0.1', 52885) :- d
[2025-10-11 19:25:41] {jeet} ('127.0.0.1', 52885) :- s
[2025-10-11 19:25:41] {jeet} ('127.0.0.1', 52885) :- d
[2025-10-11 19:25:41] {jeet} ('127.0.0.1', 52885) :- s
[2025-10-11 19:25:41] {jeet} ('127.0.0.1', 52885) :- d
[2025-10-11 19:25:41] {jeet} ('127.0.0.1', 52885) :- s
[2025-10-11 19:25:42] {jeet} ('127.0.0.1', 52885) :- d
[2025-10-11 19:25:42] {jeet} ('127.0.0.1', 52885) :- s
[2025-10-11 19:25:42] {jeet} ('127.0.0.1', 52885) :- d
[2025-10-11 19:25:42] {jeet} ('127.0.0.1', 52885) :- s
[2025-10-11 19:26:02] {jeet} ('127.0.0.1', 52894) :- ds
[2025-10-11 19:26:02] {jeet} ('127.0.0.1', 52894) :- da
[2025-10-11 19:26:02] {jeet} ('127.0.0.1', 52894) :- sd
[2025-10-11 19:26:02] {jeet} ('127.0.0.1', 52894) :- sd
[2025-10-11 19:26:03] {jeet} ('127.0.0.1', 52894) :- sd
[2025-10-11 19:26:04] {jeet} ('127.0.0.1', 52885) :- dds
[2025-10-11 19:26:04] {jeet} ('127.0.0.1', 52885) :- d
[2025-10-11 19:26:05] {jeet} ('127.0.0.1', 52885) :- sd
[2025-10-11 19:26:05] {jeet} ('127.0.0.1', 52885) :- s
[2025-10-11 19:26:05] {jeet} ('127.0.0.1', 52885) :- ds
[2025-10-11 19:26:05] {jeet} ('127.0.0.1', 52885) :- ds
[2025-10-11 19:26:06] {jeet} ('127.0.0.1', 52885) :- s
[2025-10-11 19:26:06] {jeet} ('127.0.0.1', 52885) :- d
[2025-10-11 19:26:06] {jeet} ('127.0.0.1', 52885) :- sds
[2025-10-11 19:26:07] {jeet} ('127.0.0.1', 52885) :- ds
[2025-10-11 19:26:07] {jeet} ('127.0.0.1', 52885) :- d
[2025-10-11 19:39:03] {jeet} ('127.0.0.1', 52894) :- sd
